geohash,value
fbpbpc,1.0
g00001,1.0
g00003,1.0
g00002,1.0
epbpbr,1.0
epbpbp,1.0
dzzzzz,1.0
fbpbpb,1.0
fbpbp9,1.0
fbpbpd,1.0
fbpbpf,1.0
g00004,1.0
g00006,1.0
g0000d,1.0
g00009,1.0
g00008,1.0
epbpbx,1.0
epbpbw,1.0
epbpbq,1.0
epbpbn,1.0
dzzzzy,1.0
dzzzzw,1.0
dzzzzx,1.0
fbpbp8,1.0
fbpbp6,1.0
fbpbp7,1.0
fbpbpe,1.0
fbpbpg,1.0
g00005,1.0
g00007,1.0
g0000e,1.0
g0000g,1.0
g0000f,1.0
g0000c,1.0
g0000b,1.0
epbpbz,1.0
epbpby,1.0
epbpbv,1.0
epbpbt,1.0
epbpbm,1.0
epbpbj,1.0
dzzzzv,1.0
dzzzzt,1.0
dzzzzm,1.0
dzzzzq,1.0
dzzzzr,1.0
fbpbp2,1.0
fbpbp3,1.0
fbpbp5,1.0
fbpbph,1.0
fbpbpk,1.0
fbpbps,1.0
fbpbpu,1.0
g0000h,1.0
g0000k,1.0
g0000s,1.0
g0000u,1.0
g0001h,1.0
g00015,1.0
g00014,1.0
g00011,1.0
g00010,1.0
epbpcp,1.0
epbpcn,1.0
epbpcj,1.0
epbpch,1.0
epbpbu,1.0
epbpbs,1.0
epbpbk,1.0
epbpbh,1.0
dzzzzu,1.0
dzzzzs,1.0
dzzzzk,1.0
dzzzzh,1.0
dzzzzj,1.0
dzzzzn,1.0
dzzzzp,1.0
fbpbp0,1.0
fbpbp1,1.0
fbpbp4,1.0
fbpbnu,1.0
fbpbnv,1.0
fbpbpj,1.0
fbpbpm,1.0
fbpbpt,1.0
fbpbpv,1.0
g0000j,1.0
g0000m,1.0
g0000t,1.0
g0000v,1.0
g0001j,1.0
g0001m,1.0
g0001k,1.0
g00017,1.0
g00016,1.0
g00013,1.0
g00012,1.0
epbpcr,1.0
epbpcq,1.0
epbpcm,1.0
epbpck,1.0
epbpc7,1.0
epbpc5,1.0
epbpbg,1.0
epbpbe,1.0
epbpb7,1.0
epbpb5,1.0
dzzzzg,1.0
dzzzze,1.0
dzzzz7,1.0
dzzzz5,1.0
dzzzyg,1.0
dzzzyu,1.0
dzzzyv,1.0
dzzzyy,1.0
dzzzyz,1.0
fbpbnb,1.0
fbpbnc,1.0
fbpbnf,1.0
fbpbng,1.0
fbpbnt,1.0
fbpbnw,1.0
fbpbny,1.0
fbpbpn,1.0
fbpbpq,1.0
fbpbpw,1.0
fbpbpy,1.0
g0000n,1.0
g0000q,1.0
g0000w,1.0
g0000y,1.0
g0001n,1.0
g0001q,1.0
g0001w,1.0
g0001t,1.0
g0001s,1.0
g0001e,1.0
g0001d,1.0
g00019,1.0
g00018,1.0
epbpcx,1.0
epbpcw,1.0
epbpct,1.0
epbpcs,1.0
epbpce,1.0
epbpcd,1.0
epbpc6,1.0
epbpc4,1.0
epbpbf,1.0
epbpbd,1.0
epbpb6,1.0
epbpb4,1.0
dzzzzf,1.0
dzzzzd,1.0
dzzzz6,1.0
dzzzz4,1.0
dzzzyf,1.0
dzzzyd,1.0
dzzzye,1.0
dzzzys,1.0
dzzzyt,1.0
dzzzyw,1.0
dzzzyx,1.0
fbpbn8,1.0
fbpbn9,1.0
fbpbnd,1.0
fbpbne,1.0
fbpbns,1.0
fbpbnq,1.0
fbpbnr,1.0
fbpbnx,1.0
fbpbnz,1.0
fbpbpp,1.0
fbpbpr,1.0
fbpbpx,1.0
fbpbpz,1.0
g0000p,1.0
g0000r,1.0
g0000x,1.0
g0000z,1.0
g0001p,1.0
g0001r,1.0
g0001x,1.0
g0001z,1.0
g0001y,1.0
g0001v,1.0
g0001u,1.0
g0001g,1.0
g0001f,1.0
g0001c,1.0
g0001b,1.0
epbpcz,1.0
epbpcy,1.0
epbpcv,1.0
epbpcu,1.0
epbpcg,1.0
epbpcf,1.0
epbpcc,1.0
epbpc9,1.0
epbpc3,1.0
epbpc1,1.0
epbpbc,1.0
epbpb9,1.0
epbpb3,1.0
epbpb1,1.0
dzzzzc,1.0
dzzzz9,1.0
dzzzz3,1.0
dzzzz1,1.0
dzzzyc,1.0
dzzzy9,1.0
dzzzy3,1.0
dzzzy6,1.0
dzzzy7,1.0
dzzzyk,1.0
dzzzym,1.0
dzzzyq,1.0
dzzzyr,1.0
fbpbn2,1.0
fbpbn3,1.0
fbpbn6,1.0
fbpbn7,1.0
fbpbnk,1.0
fbpbnm,1.0
fbpbnp,1.0
fbpbq0,1.0
fbpbq2,1.0
fbpbq8,1.0
fbpbqb,1.0
fbpbr0,1.0
fbpbr2,1.0
fbpbr8,1.0
fbpbrb,1.0
g00020,1.0
g00022,1.0
g00028,1.0
g0002b,1.0
g00030,1.0
g00032,1.0
g00038,1.0
g0003b,1.0
g00060,1.0
g0004p,1.0
g0004n,1.0
g0004j,1.0
g0004h,1.0
g00045,1.0
g00044,1.0
g00041,1.0
g00040,1.0
epbpfp,1.0
epbpfn,1.0
epbpfj,1.0
epbpfh,1.0
epbpf5,1.0
epbpf4,1.0
epbpf1,1.0
epbpf0,1.0
epbpcb,1.0
epbpc8,1.0
epbpc2,1.0
epbpc0,1.0
epbpbb,1.0
epbpb8,1.0
epbpb2,1.0
epbpb0,1.0
dzzzzb,1.0
dzzzz8,1.0
dzzzz2,1.0
dzzzz0,1.0
dzzzyb,1.0
dzzzy8,1.0
dzzzy2,1.0
dzzzy0,1.0
dzzzy1,1.0
dzzzy4,1.0
dzzzy5,1.0
dzzzyh,1.0
dzzzyj,1.0
dzzzyn,1.0
dzzzyp,1.0
fbpbn0,1.0
fbpbn1,1.0
fbpbn4,1.0
fbpbn5,1.0
fbpbnh,1.0
fbpbnj,1.0
fbpbnn,1.0
fbpbmb,1.0
fbpbmc,1.0
fbpbq1,1.0
fbpbq3,1.0
fbpbq9,1.0
fbpbqc,1.0
fbpbr1,1.0
fbpbr3,1.0
fbpbr9,1.0
fbpbrc,1.0
g00021,1.0
g00023,1.0
g00029,1.0
g0002c,1.0
g00031,1.0
g00033,1.0
g00039,1.0
g0003c,1.0
g00061,1.0
g00063,1.0
g00062,1.0
g0004r,1.0
g0004q,1.0
g0004m,1.0
g0004k,1.0
g00047,1.0
g00046,1.0
g00043,1.0
g00042,1.0
epbpfr,1.0
epbpfq,1.0
epbpfm,1.0
epbpfk,1.0
epbpf7,1.0
