geohash,percent_searches
tdr1w4,1.26%
tdr1y1,0.71%
tdr1w7,0.69%
tdr1vc,0.67%
tdr1vf,0.64%
tdr1v4,0.63%
tdr1yd,0.61%
tdr1wz,0.59%
tdr1yc,0.56%
tdr1w1,0.55%
tdr1vg,0.53%
tdr1w6,0.50%
tdr1vb,0.49%
tdr1yb,0.48%
tdr1tz,0.48%
tdr1w0,0.47%
tdr1vt,0.47%
tdr1y5,0.46%
tdr1tx,0.46%
tdr1tf,0.45%
tdr1t3,0.44%
tdr1y9,0.42%
tdr1qw,0.41%
tdr3bj,0.40%
tdr1tc,0.39%
tdr1wk,0.39%
tdr1xf,0.39%
tdr1yf,0.39%
tdr38q,0.39%
tdr1zm,0.38%
tdr1xn,0.37%
tdr1zw,0.37%
tdr1x2,0.35%
tdr1vs,0.34%
tdr1wy,0.34%
tdr1mv,0.34%
tdr1w5,0.34%
tdr1y3,0.34%
tdr1w9,0.34%
tdr38j,0.33%
tdr1qy,0.33%
tdr1qv,0.33%
tdr1wd,0.32%
tdr1mx,0.32%
tdr1x9,0.32%
tdr4nd,0.32%
tdr1qp,0.32%
tdr1xc,0.32%
tdr1zd,0.32%
tdr1v8,0.31%
tdr1yn,0.31%
tdr4nf,0.31%
tdr38m,0.31%
tdr1yq,0.30%
tdr1v3,0.30%
tdr1mz,0.29%
tdr1qr,0.29%
tdr1zj,0.29%
tdr1t7,0.29%
tdr38n,0.29%
tdr3bu,0.29%
tdr1qx,0.29%
tdr1y0,0.28%
tdr4nq,0.28%
tdr4p4,0.28%
tdr706,0.28%
tdr38r,0.28%
tdr1x3,0.27%
tdr1yr,0.27%
tdr1y6,0.27%
tdr1mj,0.27%
tdr1t9,0.27%
tdr1tu,0.27%
tdr4hb,0.27%
tdr4ne,0.27%
tdr1tw,0.27%
tdr1yj,0.26%
tdr4jg,0.26%
tdr1tg,0.26%
tdr1rr,0.26%
tdr1vn,0.26%
tdr4n9,0.26%
tdr1v6,0.25%
tdr1qz,0.25%
tdr3b3,0.25%
tdr1xg,0.25%
tdr1v2,0.25%
tdr1t6,0.25%
tdr1my,0.24%
tdr1v9,0.24%
tdr3b2,0.24%
tdr1vv,0.24%
tdr1xv,0.24%
tdr4hd,0.24%
tdr1t2,0.24%
tdr1mt,0.24%
tdr1x8,0.23%
tdr4je,0.23%
tdr1qn,0.23%
tdr1th,0.23%
